DESCRIPTION,PON,NUMERO,SERIAL,MODELO
PON[13]-HG260[1],12,1,HWTC9322e4a2,HS8145V5
ahenriquedp,12,2,ZTEGc8fdb91f,F680V6.0.03
fcesars,12,3,HWTCeb41ed9f,HS8145V5
kcgomest,12,4,HWTC931d1fa2,HS8145V5
ericambd,12,5,HWTCe215ab9f,HS8145V5
suyaneoa,12,6,HWTC3a5983a3,HS8145V5
beneditocpr,12,7,HWTCeb27fe9f,HS8145V5
PON[13]-AN5506-04-FAT[8],12,8,ZTEGc4ada02c,F680V6.0.03
mfdasilva,12,9,ZTEGc8fdcafc,F680V6.0.03
josemm,12,10,HWTCe2309ea3,HS8145V5
franciellels,12,11,HWTCaea1a79f,HS8145V5
barbaramj,12,12,ZTEGc8ffdb6f,F680V6.0.03
gilvanial,12,13,ZTEGc4ada3c7,F680V6.0.03
jaquelineas,12,14,ZTEGd0892816,F612V9.2
rgoliveira,12,15,ZTEGc4ad9c6f,F680V6.0.03
wlsilva,12,16,FHTT03ee2c90,AN5506-01-A1
juniocgdo,12,17,FHTT10e5f050,AN5506-01-A1
gabrielagr,12,18,ZTEGcecdf838,F601V7.0
celiadma,12,19,ZTEGc795349d,F6600V1.0
gabriellads,12,20,ZTEGc79534f4,F6600V1.0
brunnakgdc,12,21,ZTEGc8ffbd08,F680V6.0.03
solangefsds,12,22,ZTEGd08912fc,F612V9.2
luizatf,12,23,ZTEGd0224f67,F601V7.0
anafsp,12,24,FHTT10b6b630,AN5506-01-A1
madalenarn,12,25,HWTCeb434f9f,HS8145V5
mdiasm,12,26,HWTC3a60f9a3,HS8145V5
mpereiras,12,27,HWTC3a55aca3,HS8145V5
allandpv,12,28,HWTC3a5592a3,HS8145V5
julianapms,12,29,HWTCeb02fa9f,HS8145V5
ericogcr,12,30,HWTCa2d3c5a3,HS8145V5
christianb,12,31,ZTEGc437fb59,F680V6.0.03
joaorf,12,32,ZTEGc4a63638,F680V6.0.03
lfelipes,12,33,ZTEGc4a647c9,F680V6.0.03
jcpsilva,12,34,ZTEGc4a613bf,F680V6.0.03
edsonredc,12,35,ZTEGcec2d179,F601V7.0
celiams,12,36,ZTEGc4a63676,F680V6.0.03
keilabc,12,37,ZTEGc8ffbd47,F680V6.0.03
clarissesc,12,38,HWTCad87a1a0,HS8145V5
andersoncc,12,39,FHTT11b81660,AN5506-02-B
laralda,12,40,HWTCeae2c99f,HS8145V5
karlabs,12,41,ZTEGc437ecde,F680V6.0.03
kacyodf,12,42,ZTEGd0891267,F612V9.2
anavimb,12,43,ZTEGc79533ba,F6600V1.0
brunaluizacj,12,44,ZTEGc7953abc,F6600V1.0
lauraaav,12,45,FHTT151a5e28,AN5506-01-A1
mariasss,12,46,ZTEGc8ffbd66,F680V6.0.03
diegodsv,12,47,ZTEGcec27c3f,F601V7.0
