DESCRIPTION,PON,NUMERO,SERIAL,MODELO
gcmedicamentos,6,1,ZTEGc8fda0b3,F680V6.0.03
moliveiras,6,2,HWTCad8581a0,HS8145V5
luizfa,6,3,ZTEGc437f0b4,F680V6.0.03
PON[9]-HG260[30],6,4,HWTCe220c59f,HS8145V5
waldomiromcj,6,5,HWTCb1bad29d,HS8145V
dalmopb,6,6,HWTCc253189e,HS8145V
sandrapsvd,6,7,FHTT11b8b5b8,AN5506-02-B
luzimaras,6,8,ZTEGc79536b5,F6600V1.0
fernandolcs,6,9,HWTCeb13239f,HS8145V5
geisianedas,6,10,ZTEGd08912f8,F612V9.2
acarlosjs,6,11,ZTEGca50e28e,F670LV1.1.01
rrodriguesb,6,12,ZTEGd089026b,F612V9.2
gabrieltc,6,13,ZTEGcec27c50,F601V7.0
nathancm,6,14,FHTT04a570b0,AN5506-01-A1
